model,avg_rmse,sd_rmse,outcomes_covered
Random Forest,4.402717918892938,2.0876150284787007,5
linear + inter,4.4655172603356945,2.125462618609186,5
Ridge + inter,4.466969406108393,2.1261889988208598,5
Lasso + inter,4.467014357380917,2.126191165263448,5
PCA + linear + inter,4.467042580757895,2.126214518552589,5
linear,4.5034593468574595,2.1589321185498154,5
FGLS,4.503508030223967,2.1589134791430684,5
PCA + linear,4.50451259179423,2.1595239517917713,5
Ridge,4.50501553650506,2.15981763446263,5
Lasso,4.505028385407249,2.1598210193509213,5
GLM Poisson,4.505104850181427,2.1607379650518457,5
dummy,4.803984911501404,2.268915151762608,5
