target,model,rmse_best,rmse_dummy,R2_from_RMSE
high_cholesterol_prevalence,Random Forest,4.212952829010533,4.718996016467654,0.20297127894709088
obesity_prevalence,Random Forest,6.062233928670848,6.684677178020209,0.17755947031183383
cancer_prevalence,Random Forest,1.7037171283018384,1.867657383622063,0.16785202448880987
high_blood_pressure_prevalence,Random Forest,6.83426455901495,7.345989950825097,0.1344684296436316
depression_prevalence,Random Forest,3.200421149466518,3.4026040285719965,0.11530934527266878
