feature,cancer_prevalence,depression_prevalence,high_blood_pressure_prevalence,high_cholesterol_prevalence,obesity_prevalence
employment_mix_ranked,0.01,0.07,0.12,0.05,0.13
employment_residential_mix_ranked,0.03,0.03,0.41,0.04,0.66
intersection_density_ranked,0.15,0.17,0.31,0.36,0.19
transit_accessibility_ranked,0.1,0.29,0.43,0.39,0.63
